,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Manufacturing,Nondurable goods,Wood products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Durable goods,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,Retail trade,General merchandise stores,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Transportation and warehousing,Warehousing and storage,Other retail,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services and lessors of intangible assets,"Professional, scientific, and technical services",Legal services,"Miscellaneous professional, scientific, and technical services",Computer systems design and related services,Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government","Finance, insurance, real estate, rental, and leasing",Government,Gross domestic product,Federal,National defense,Nondefense,State and local,Housing,Other real estate,Private goods-producing industries,Professional and business services,Private services-producing industries,Private industries,Average
2005,131,107.5,23.5,196.4,133,39.8,23.6,191.8,627.5,174.4,21.1,14.1,1669.9,725.9,34.8,51.5,43.9,134.1,222.8,63.9,47.8,57.8,120.6,112.4,209.4,41.9,136.7,84.2,32.8,65.8,944.1,741.9,155.7,120.5,823.9,119.3,58.4,26.8,8.3,110.7,22.8,10.8,83.7,357.7,36.2,428.4,640.4,170.6,66.8,332.5,70.6,954.7,399.5,192.8,339,23.3,1605.6,1465.7,139.9,834.6,192.4,510.9,131.3,209.4,369.5,336.2,33.3,952.5,131,821.5,388.7,270.7,91.3,70.9,471.2,118.7,64.5,54.3,352.5,106.9,245.5,305.6,2560.3,1683.5,12767.3,543.7,295.4,184.5,1139.8,1186.6,279.1,2624.9,1413.5,8458.9,11083.8,708.16
2006,121.1,94.2,26.9,267.9,180.9,49.2,37.8,220.4,698.5,187.5,20.6,13.2,1779.2,775,34.4,56.1,45.9,143.9,243.9,64,51.5,60.3,126.3,120.2,228,49.6,136,94,35.1,68.9,1004.3,793.5,161.1,125.9,866.9,123.8,65.8,30.8,12,122.8,25.4,11.1,93.2,401.3,40.3,456.1,633.5,160.5,64,328.2,80.8,1044.5,434.8,224.3,363.3,22.1,1647.4,1483.3,164,901.5,200.6,555.5,145.4,226.2,395.4,363,32.3,1017.1,140.2,876.9,417.4,287.9,96.4,75.2,505.1,128.8,72.6,56.1,376.3,113.9,262.4,320.8,2691.9,1758.9,13599.2,568.1,309.8,191.9,1190.9,1248.8,234.5,2866.7,1523,8973.5,11840.2,753.47
2007,145.1,116.4,28.6,282.4,180.8,54.2,47.4,228.4,715.8,190.8,19.7,12.3,1800.1,788.6,29.8,53.9,47.8,136.8,262.7,64.6,48,63.1,132.3,125,223.4,49.3,130.6,105.5,33.5,71,1011.5,846.9,161.5,124.2,869.6,124.3,71.3,31.5,14,122.2,25.9,12.3,90.1,408.1,40.9,459.6,674.6,182.7,70.6,357.1,64.2,1079.9,407.5,241.6,409.8,20.9,1774.9,1614.3,160.6,951.2,212.6,578.1,160.4,248.4,415.5,381.5,34,1062.6,147.7,914.9,431.9,303.4,100.5,79.1,527.2,135.4,74.9,60.6,391.8,121.7,270.1,330.7,2854.8,1854.4,14215.7,589.8,323.9,201.1,1264.7,1317.1,297.2,2943.4,1615.1,9417.8,12361.2,787.9
2008,157.1,129.5,27.5,358.2,245.5,58,54.6,223,668.5,184.7,18.4,11.7,1802.8,790.7,26.7,50.2,46.4,168.7,254.6,56.1,46,69.8,132.7,130.6,229.8,53,106.6,115.2,29.2,72.4,1012,872.2,152,125.5,844.7,125.2,69.2,34.9,15.5,117.6,26.9,17.5,91.8,417.2,43.7,441.9,734.4,193.4,77.5,389,74.4,1011.6,431.1,190.8,361.6,28,1909.3,1742.4,166.9,1053.2,235.6,641.8,175.8,252.4,439.4,402.8,36.5,1146.4,160,986.4,464.6,329.5,108.2,84,539.1,140.4,77.8,62.5,398.8,126.3,272.4,329,2920.9,1948.2,14706.5,619.7,343.1,212,1328.5,1419.1,323.3,2986.5,1745,9771.9,12758.4,816.66
2009,123.5,96.4,27.1,289.3,173.6,63.9,51.9,263.4,596.9,229.4,15.1,9.8,1689.7,792.6,20.9,57.3,40.7,97.3,285.7,57.3,39.9,44.5,121.7,123.9,223.1,52.2,50.1,117.2,23.6,80.1,897.2,837.1,126.2,129.4,825.3,131.6,67.8,34,16.6,112,28.7,17,88.8,410.6,45.7,438.1,719.5,179.1,81.6,370.9,87.9,900.3,416.1,118.5,349.2,16.6,1936.7,1757.9,178.8,1055.3,224.1,645.3,185.9,236.9,417.8,380.2,37.6,1247.8,185.2,1062.6,500.4,360.3,114.4,87.6,532.7,144.2,84.4,59.8,388.5,109.9,278.6,328.2,2837.1,2019.8,14430.9,650,364.5,224.6,1369.8,1467.3,290.6,2699.5,1709.9,9711.6,12411.1,800.33
2010,134.7,107,27.7,306.9,201.3,64.3,41.3,274.6,519.3,233.1,15.3,10.1,1753.1,842.6,22.2,57.9,38.7,123.7,301.6,62.2,37.9,45.2,115.1,118.4,233.1,49.9,67.5,116.4,21.7,83.2,910.5,862.3,136.4,129.9,838.1,129.9,79.1,32.9,14.1,109.1,30.3,18.5,85.9,414.3,44.4,442,733.9,176.1,89.2,376.7,91.9,1027.6,391,250.2,370,16.3,1944.5,1788.1,156.4,1035,201.7,637.7,195.6,257.6,425.5,379.4,46.2,1286,194.9,1091.1,521,362.6,118.6,88.9,541.9,148.1,85.8,62.3,393.8,106.9,286.9,322.6,2972,2086.8,14764.6,687.2,388.1,239.5,1399.6,1484.7,303.4,2713.9,1718.1,9963.9,12677.8,820.06
2011,181.5,152.9,28.6,335.9,204.7,76,55.2,275.9,512.2,209.4,15.1,10.3,1842.5,836.7,23.3,54.2,39.4,145.5,301.1,61.7,37.7,58.2,124.9,140,238.2,49.3,105.7,125.3,21.8,81.3,1005.8,914.1,146,129.5,863.2,134.9,86.2,34.7,14.5,118.9,33.1,21.5,93.3,447.5,45.1,452.8,761.7,193.6,84.7,370.6,112.7,1017.3,447.8,170.8,384.4,14.2,2000.7,1841.2,159.6,1104.2,211,677.1,216,278.1,449.4,406.7,42.7,1337.1,204.3,1132.8,546,377.1,122,87.7,570.6,156,89.7,66.3,414.6,118.5,296.2,330.4,3018,2129.3,15351.4,708.8,403.4,251.8,1420.5,1514.8,326.4,2872,1831.7,10350.1,13222.1,853.47
2012,181.6,151.1,30.5,371.2,231.3,70.7,69.2,273.1,549.6,215.6,15.7,10,1921.5,867.8,24.7,52.9,38,167.6,302,66.1,41.3,66.6,136.1,153.4,239.9,49.4,111.1,128.4,22.4,80.5,1053.7,982.3,160.3,131.7,902.7,135.5,86.6,38.1,13.3,128,36,23.2,94.7,466.6,46.7,475.2,758.7,197.2,83.5,369.7,108.3,1135.3,515.5,194.7,411.4,13.6,2085.7,1916.4,169.3,1172.6,219.8,715.2,237.6,291.8,472.3,428.9,43.4,1398.3,212.7,1185.5,572.2,392.3,125.2,95.7,613.1,168.1,99.6,68.5,445,126.5,318.5,343.8,3221,2148.7,16068.8,715.1,408.4,255.1,1433.6,1535.9,380.5,3024,1936.7,10896.2,13920.1,895.41
2013,217.3,186.8,30.6,371,240.5,63.2,67.2,288.3,572.7,221.8,16.4,10.3,1984,891.2,29.1,55.3,39.3,159.8,318.7,69.7,45.9,62.7,141.2,156.1,246.7,57.5,119,130.2,23.3,81.4,1092.8,1030.4,168.7,135.2,944.4,136.2,90.1,40.5,15.8,129.8,37.7,27,96.2,484.6,47.6,504.3,814.8,213.3,81.2,400.9,119.5,1119.4,496.1,236.7,375.6,11,2173.7,1989.2,184.5,1204.1,215.9,730.5,257.7,313.9,480.7,437.7,43,1438.5,215,1223.6,590,405.5,128,100,643.1,174.9,102.5,72.4,468.2,134.8,333.4,353.6,3293.1,2194.4,16629.1,706.5,402.1,257.4,1487.9,1570.9,418.4,3145,1998.7,11289.6,14434.6,926.2
2014,195.3,163.3,32,412.7,278.3,59.7,74.7,301.4,616.4,230.2,17.4,10.2,1997.8,894.7,30.4,55.8,38.5,154.8,322.5,65.4,47.5,61.6,140.5,156.9,244.9,53.7,126.6,135.1,24.7,81.3,1103.1,1050.6,173.9,136.5,952,136.5,96.8,41.5,16.6,133.8,38.7,27.5,97.3,499.2,46.9,505.1,835.7,214.4,82.6,395.9,142.8,1239.5,533.6,244.3,443.8,17.8,2228.4,2048.1,180.3,1231.7,217.6,752.5,261.5,333.2,503.5,459.2,44.3,1464.3,222.1,1242.2,599.7,408,130.8,103.7,669.9,186.2,111.4,74.8,483.8,138.6,345.2,365.2,3467.9,2247.4,17144.3,710.9,400.5,263.6,1536.5,1622.9,425.2,3222.2,2068.4,11674.7,14896.9,954.93
2015,179.7,145.3,34.4,290.4,172.1,53.2,65.2,299.8,673.7,257.9,17.9,9.7,2118.7,940.9,31.6,58.9,39.7,150.8,331.3,74.7,53.1,63.1,148.1,158.4,265.2,61.7,139.7,148.4,28,80.4,1177.7,1135.1,187.9,143.8,1001.5,140.1,111.8,45.2,16.3,147.8,42.1,34.6,106,553.6,49.7,529.7,878.8,221.6,85.7,412.2,159.2,1372.4,582.4,225.7,545.1,19.3,2304.5,2102.8,201.7,1325.5,234.3,814.9,276.3,346.7,533.8,486.1,47.7,1542.4,230.3,1312.1,632.2,434.8,135.5,109.5,728.4,190.9,111.6,79.2,537.6,153.9,383.7,388.3,3677,2318,17991.3,726.7,398.8,272.6,1591.3,1663.8,439,3262.5,2206,12410.9,15673.4,1003.09
2016,170.4,133.9,36.5,196.8,116,45.3,35.4,295.2,730.9,262.4,18.6,9.7,2097.6,912.2,34.6,60.2,41.4,87.4,352.1,80.4,56.9,56,146.4,145.3,267.3,60.1,154,149.2,30.4,85.1,1185.4,1137.1,199.9,147.4,1045.4,143,123.6,40.5,14.4,150,42.2,38.7,109.2,575.1,56.4,555.1,959.9,231.9,95.2,445.1,187.7,1390.4,574.1,249.9,550,16.3,2379.2,2161.3,217.9,1384.8,249.4,836,299.4,347.8,550.8,503.3,47.4,1625.7,242.7,1383,669.2,456,141,116.8,775.8,201.5,117.4,84.1,574.3,159.1,415.1,397.5,3769.6,2365,18425.3,737.4,397.5,280.3,1627.6,1723.9,437.4,3195.7,2283.3,12864.6,16060.3,1027.75
2017,181,144.8,36.3,262.2,172,53.5,36.7,305.5,787.6,263.7,18.3,9.5,2144.6,936.6,37.4,55.2,40.8,110.7,359.9,78.6,60.1,58.7,147.4,147.6,272.3,58.9,157.5,148.5,30,89.6,1208,1145.6,205.5,150.9,1070.2,146.2,134,41.4,12.7,152.2,44,40.1,113.3,597.9,60.1,567.5,985.4,243.9,96.3,442.3,202.9,1504,648.5,279.9,554.9,20.7,2465.5,2242.8,222.6,1426.1,255.7,856.2,314.1,361.6,586.7,535.2,51.5,1692.1,248.6,1443.5,703.5,471.9,144.8,123.4,813.3,211.6,126.3,85.3,601.7,165.2,436.5,406.1,3969.5,2418.6,19153.9,754,401.3,291.6,1664.6,1789.6,453.3,3375.4,2374.4,13359.9,16735.3,1069.55
2018,178.2,140,38.2,308,197.2,58.9,51.8,318.3,832.5,265.6,16.8,9.4,2293.4,1013.4,38.9,57.7,41.4,171.3,370.2,81,62.3,63.6,153.3,161.6,296.6,64.3,157.3,156.8,30.7,94.7,1280,1194.2,211,154.7,1107.9,149.7,135.4,42.5,13.7,163.8,45.8,44.1,120.6,633.3,67.2,592.5,1030.2,263.2,89.1,452,225.9,1587.9,673.9,304.7,581.3,28.1,2585.1,2345.8,239.2,1524.3,262.7,920.6,341,385.9,621.3,564.4,56.9,1756.8,255.4,1501.4,731.5,489.4,150.1,130.3,849.6,221.9,132.3,89.6,627.8,173.3,454.5,427.9,4173,2509,20143.7,779.1,411.8,303.3,1729.9,1862.4,483.4,3612.1,2531.5,14022.6,17634.7,1125.81
2019,159.7,120.9,38.8,302.1,185.6,57.6,58.9,323.9,887.1,267.4,16.9,9.3,2342.2,1016.4,39.2,59.3,41.1,158.4,381,83,63.5,67.9,162,166.6,308.3,64.8,157.8,167.7,31.9,96.2,1325.8,1262.8,220.8,155.8,1142.2,150.7,142.8,43.1,14.7,171,55.1,43.5,133.4,676.4,72.7,614.9,1098.4,285.9,84.6,463.9,264,1644.6,703.8,331.5,584,25.2,2711.7,2457.3,254.4,1614.4,275.8,968,370.5,409.7,660.7,602.3,58.4,1840.3,271.6,1568.7,768.7,504.4,155.1,140.5,891.7,232.9,139.5,93.4,658.8,181.6,477.2,445.5,4356.3,2588.2,21001.6,803.4,426.4,315.3,1784.7,1950.9,506.4,3691.2,2684.8,14722.2,18413.4,1174.16
2020,183.8,142.6,41.2,236.6,133.4,59.4,43.8,328.2,914.3,283.5,16.6,9.5,2358.8,1050.8,40.7,59.7,41.2,161.3,395.8,83,65.5,63.2,158,163.7,315.1,66.2,151.8,156.9,32.6,94.3,1308,1280.9,220.6,169.5,1185.6,157.7,124.4,40.4,13.6,172.1,50.1,43.2,138.1,660.5,78.6,637.8,1158.9,309.2,84.2,464.4,301.1,1715.1,743.2,332.6,615.5,23.9,2827.7,2559.4,268.3,1669.3,286.7,1010.2,372.5,412,676.7,615.8,61,1870.8,271.9,1598.9,771.7,515.6,162.1,149.5,849.2,228.9,135.5,93.3,620.3,167.9,452.4,455.5,4542.9,2697.2,21481.4,831.1,439.5,326.1,1866.1,2033.4,526,3693.6,2758.1,15090.6,18784.2,1200.57
